corsi_di_laurea	corsi	id	name	surname	phone	email	office_address	office_number
Corso di Laurea Magistrale in European and Global Studies	ea eos dolor	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Lettere	necessitatibus consequatur aperiam	14	Pericle	Rossetti	343 467 240	diana94@hotmail.com	Borgo Demis 1	11
Corso di Laurea in Biologia molecolare	ut rem libero	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea in Scienze naturali	dignissimos esse rerum	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea in Scienze naturali	dolorem laudantium minima	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea Magistrale in Biologia marina	minima iste veniam	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea in Ingegneria Elettronica	ut fuga sapiente	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea Magistrale in Informatica	esse harum quaerat	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea in Dietistica	porro quia reprehenderit	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea in Logopedia	aut cumque rerum	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea in Tecnica della Riabilitazione Psichiatrica	ratione placeat vel	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea in Tecnica della Riabilitazione Psichiatrica	aliquam asperiores maiores	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea Magistrale in Human Rights and Multi-Level Governance	voluptatem beatae velit	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea in Lingue, Letterature e Mediazione Culturale	dolores quasi officia	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea Magistrale in Filologia Moderna	autem possimus illum	15	Valdo	Carbone	+72 938 6591087	gianriccardo23@hotmail.com	Via Eusebio 167 Appartamento 28	106
Corso di Laurea Magistrale in Biologia evoluzionistica	recusandae numquam deserunt	16	Miriana	Morelli	+20 997 51 54 1939	morgana.moretti@rinaldi.net	Contrada Rita 5 Appartamento 71	1
Corso di Laurea Magistrale in Fisica	amet ullam hic	16	Miriana	Morelli	+20 997 51 54 1939	morgana.moretti@rinaldi.net	Contrada Rita 5 Appartamento 71	1
Corso di Laurea in Ingegneria Civile	dolorem aut dignissimos	16	Miriana	Morelli	+20 997 51 54 1939	morgana.moretti@rinaldi.net	Contrada Rita 5 Appartamento 71	1
Corso di Laurea Magistrale in Matematica	quas quam esse	16	Miriana	Morelli	+20 997 51 54 1939	morgana.moretti@rinaldi.net	Contrada Rita 5 Appartamento 71	1
Corso di Laurea in Infermieristica	est aut qui	16	Miriana	Morelli	+20 997 51 54 1939	morgana.moretti@rinaldi.net	Contrada Rita 5 Appartamento 71	1
Corso di Laurea Magistrale in Odontoiatria e Protesi Dentaria	eligendi est rerum	16	Miriana	Morelli	+20 997 51 54 1939	morgana.moretti@rinaldi.net	Contrada Rita 5 Appartamento 71	1
Corso di Laurea Magistrale in Scienza dei Materiali	voluptatibus ab sit	16	Miriana	Morelli	+20 997 51 54 1939	morgana.moretti@rinaldi.net	Contrada Rita 5 Appartamento 71	1
Corso di Laurea in Scienze Politiche	aut hic iure	16	Miriana	Morelli	+20 997 51 54 1939	morgana.moretti@rinaldi.net	Contrada Rita 5 Appartamento 71	1
Corso di Laurea in Relazioni Internazionali e Diritti Umani	sit omnis sit	16	Miriana	Morelli	+20 997 51 54 1939	morgana.moretti@rinaldi.net	Contrada Rita 5 Appartamento 71	1
Corso di Laurea Magistrale in Innovazione e Servizio Sociale	et necessitatibus sit	16	Miriana	Morelli	+20 997 51 54 1939	morgana.moretti@rinaldi.net	Contrada Rita 5 Appartamento 71	1
Corso di Laurea Magistrale in Biologia evoluzionistica	officiis sit sed	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea Magistrale in Scienze della natura	quae non voluptate	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea Magistrale in Astronomia	quibusdam similique occaecati	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea in Ingegneria dell'Informazione	et ducimus sed	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea Magistrale in Ingegneria Informatica	laboriosam ut iusto	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea in Informatica	asperiores modi qui	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea in Dietistica	quasi quidem et	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea Magistrale in Scienze e Tecniche dell'Attività Motoria Preventiva e Adattata	ducimus ea nihil	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea in Fisioterapia	incidunt et velit	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea in Tecnica della Riabilitazione Psichiatrica	nihil consequatur voluptatem	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea Magistrale in Chimica	in optio voluptas	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea in Economia	vero consequatur id	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea Magistrale in Business Administration	iusto sed reprehenderit	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea in Relazioni Internazionali e Diritti Umani	et deleniti hic	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea in Relazioni Internazionali e Diritti Umani	et molestiae sunt	17	Rosaria	Neri	344 690 022	rosalba.rizzo@grassi.it	Piazza Demian 856 Appartamento 63	171
Corso di Laurea Magistrale in Biologia molecolare	voluptas amet vitae	18	Lorenzo	Rizzi	NULL	gallo.samira@hotmail.com	Strada Vitali 8 Piano 0	124
Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	quia maxime molestiae	18	Lorenzo	Rizzi	NULL	gallo.samira@hotmail.com	Strada Vitali 8 Piano 0	124
Corso di Laurea in Ingegneria Elettronica	et aut quae	18	Lorenzo	Rizzi	NULL	gallo.samira@hotmail.com	Strada Vitali 8 Piano 0	124
Corso di Laurea Magistrale in Ingegneria Elettronica	nesciunt eligendi sed	18	Lorenzo	Rizzi	NULL	gallo.samira@hotmail.com	Strada Vitali 8 Piano 0	124
Corso di Laurea Magistrale in Cybersecurity	sit atque nulla	18	Lorenzo	Rizzi	NULL	gallo.samira@hotmail.com	Strada Vitali 8 Piano 0	124
Corso di Laurea in Informatica	sed quo delectus	18	Lorenzo	Rizzi	NULL	gallo.samira@hotmail.com	Strada Vitali 8 Piano 0	124
Corso di Laurea in Tecniche di Radiologia Medica	aspernatur consequuntur quaerat	18	Lorenzo	Rizzi	NULL	gallo.samira@hotmail.com	Strada Vitali 8 Piano 0	124
Corso di Laurea Magistrale in Business Administration	dicta qui maiores	18	Lorenzo	Rizzi	NULL	gallo.samira@hotmail.com	Strada Vitali 8 Piano 0	124
Corso di Laurea in Diritto dell'Economia	quasi at facilis	18	Lorenzo	Rizzi	NULL	gallo.samira@hotmail.com	Strada Vitali 8 Piano 0	124
Corso di Laurea in Biologia	beatae eveniet fugiat	19	Ione	Mariani	NULL	qriva@amato.com	Strada Neri 577	76
Corso di Laurea in Fisica	magnam laudantium maxime	19	Ione	Mariani	NULL	qriva@amato.com	Strada Neri 577	76
Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	magnam sed eum	19	Ione	Mariani	NULL	qriva@amato.com	Strada Neri 577	76
Corso di Laurea in Matematica	quas quo rem	19	Ione	Mariani	NULL	qriva@amato.com	Strada Neri 577	76
Corso di Laurea in Tecniche di Radiologia Medica	rerum accusantium quisquam	19	Ione	Mariani	NULL	qriva@amato.com	Strada Neri 577	76
Corso di Laurea in Scienze e Tecnologie per l'Ambiente	magnam vel sed	19	Ione	Mariani	NULL	qriva@amato.com	Strada Neri 577	76
Corso di Laurea Magistrale in Chimica	sit similique dolor	19	Ione	Mariani	NULL	qriva@amato.com	Strada Neri 577	76
Corso di Laurea Magistrale in Relazioni Internazionali e Diplomazia	doloremque aut nihil	19	Ione	Mariani	NULL	qriva@amato.com	Strada Neri 577	76
Corso di Laurea Magistrale in Scienze del Governo e Politiche Pubbliche	ut qui reiciendis	19	Ione	Mariani	NULL	qriva@amato.com	Strada Neri 577	76
Corso di Laurea in Statistica per l'Economia e l'Impresa	in blanditiis dolorum	19	Ione	Mariani	NULL	qriva@amato.com	Strada Neri 577	76
Corso di Laurea Magistrale in Scienze Statistiche	ut aliquam nostrum	19	Ione	Mariani	NULL	qriva@amato.com	Strada Neri 577	76
Corso di Laurea Magistrale in Lingue Moderne per la Comunicazione e la Cooperazione Internazionale	adipisci ut quis	19	Ione	Mariani	NULL	qriva@amato.com	Strada Neri 577	76
Corso di Laurea in Scienze naturali	voluptas culpa eos	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea Magistrale in Fisica	voluptatem ipsa odit	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	aut officia dolore	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea in Informatica	aliquam voluptas reiciendis	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea in Dietistica	culpa ea dolorem	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea in Tecniche di Radiologia Medica	possimus voluptatem animi	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea Magistrale in Chimica	harum possimus nihil	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea Magistrale in Economics and Finance	aspernatur nulla explicabo	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea in Scienze Politiche	magni voluptas a	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea in Statistica per l'Economia e l'Impresa	quidem deleniti omnis	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea in Statistica per l'Economia e l'Impresa	natus iste fugit	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea in Statistica per le Tecnologie e le Scienze	quos pariatur aliquid	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea Magistrale in Filologia Moderna	et possimus occaecati	20	Marvin	Ferrari	NULL	smazza@gmail.com	Borgo Elio 234 Piano 4	72
Corso di Laurea in Biologia	natus dolores quod	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea Magistrale in Scienze della natura	odio est qui	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea in Astronomia	assumenda non suscipit	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea Magistrale in Fisica	voluptatem eos voluptas	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea in Ingegneria Civile	rem delectus eius	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea in Ingegneria Biomedica	consectetur voluptas et	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea Magistrale in Ingegneria Informatica	et sed eum	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea Magistrale in Cybersecurity	dolores facilis aliquid	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea in Informatica	quia porro consectetur	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea in Scienza dei Materiali	sunt rerum cum	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea Magistrale in Scienza dei Materiali	est id hic	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea Magistrale in Business Administration	voluptatem architecto alias	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea in Diritto dell'Economia	a dolorem voluptas	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea Magistrale in Innovazione e Servizio Sociale	consequatur ut architecto	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea Magistrale in Lingue e Letterature Europee e Americane	dolorem quis explicabo	21	Michele	Milani	NULL	nico.morelli@donati.org	Contrada Santoro 17 Appartamento 30	184
Corso di Laurea in Biologia molecolare	vero est explicabo	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea Magistrale in Biologia marina	et qui voluptas	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea in Ingegneria Civile	voluptatibus quo eligendi	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea in Ingegneria Civile	quo explicabo quae	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea in Ingegneria dell'Informazione	cum quis dolorem	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea Magistrale in Ingegneria dell'Automazione	voluptas veniam similique	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea Magistrale in Informatica	et est porro	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea Magistrale in Informatica	ipsa aliquid sapiente	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea Magistrale in Scienze delle Professioni Sanitarie	dicta ducimus odit	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea in Logopedia	esse excepturi voluptas	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea in Tecniche di Neurofisiopatologia	omnis voluptas molestias	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea in Chimica	commodi praesentium repudiandae	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea in Chimica Industriale	iure qui et	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea Magistrale in Chimica Industriale	est illum inventore	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea in Economia	qui nemo in	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea in Diritto dell'Economia	ratione autem natus	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea Magistrale in European and Global Studies	corporis itaque nobis	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea in Statistica per le Tecnologie e le Scienze	enim cupiditate laudantium	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea in Lettere	ex totam sint	22	Anselmo	Martino	+99 90 5086288	mgiuliani@testa.it	Borgo Elio 234 Piano 4	118
Corso di Laurea Magistrale in Scienze della natura	tenetur omnis amet	23	Tazio	Sartori	+59 31 8721952	hguerra@yahoo.it	Rotonda Carmela 10 Piano 1	136
Corso di Laurea Magistrale in Bioingegneria	est accusantium vitae	23	Tazio	Sartori	+59 31 8721952	hguerra@yahoo.it	Rotonda Carmela 10 Piano 1	136
Corso di Laurea in Dietistica	debitis possimus mollitia	23	Tazio	Sartori	+59 31 8721952	hguerra@yahoo.it	Rotonda Carmela 10 Piano 1	136
Corso di Laurea in Dietistica	est eaque aut	23	Tazio	Sartori	+59 31 8721952	hguerra@yahoo.it	Rotonda Carmela 10 Piano 1	136
Corso di Laurea in Tecniche di Laboratorio Biomedico	possimus dolorum ut	23	Tazio	Sartori	+59 31 8721952	hguerra@yahoo.it	Rotonda Carmela 10 Piano 1	136
Corso di Laurea Magistrale in Scienze delle Professioni Sanitarie	error quia minus	23	Tazio	Sartori	+59 31 8721952	hguerra@yahoo.it	Rotonda Carmela 10 Piano 1	136
Corso di Laurea in Fisioterapia	reiciendis totam quis	23	Tazio	Sartori	+59 31 8721952	hguerra@yahoo.it	Rotonda Carmela 10 Piano 1	136
Corso di Laurea in Tecnica della Riabilitazione Psichiatrica	et vero aspernatur	23	Tazio	Sartori	+59 31 8721952	hguerra@yahoo.it	Rotonda Carmela 10 Piano 1	136
Corso di Laurea in Statistica per l'Economia e l'Impresa	ex quaerat commodi	23	Tazio	Sartori	+59 31 8721952	hguerra@yahoo.it	Rotonda Carmela 10 Piano 1	136
Corso di Laurea Magistrale in Filologia Moderna	enim non ut	23	Tazio	Sartori	+59 31 8721952	hguerra@yahoo.it	Rotonda Carmela 10 Piano 1	136
Corso di Laurea Magistrale in Lingue e Letterature Europee e Americane	repellendus possimus consequatur	23	Tazio	Sartori	+59 31 8721952	hguerra@yahoo.it	Rotonda Carmela 10 Piano 1	136
Corso di Laurea Magistrale in Lingue Moderne per la Comunicazione e la Cooperazione Internazionale	praesentium mollitia rerum	23	Tazio	Sartori	+59 31 8721952	hguerra@yahoo.it	Rotonda Carmela 10 Piano 1	136
Corso di Laurea in Biologia	iure qui voluptas	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea in Biologia molecolare	maxime laboriosam nostrum	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	eligendi adipisci corporis	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea Magistrale in Ingegneria Civile	cupiditate optio commodi	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea in Ingegneria dell'Informazione	sed quis itaque	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea Magistrale in Ingegneria Elettronica	dignissimos eos sit	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea Magistrale in Cybersecurity	minima est et	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea Magistrale in Chimica	harum doloremque eos	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea Magistrale in Chimica	explicabo quaerat ducimus	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea Magistrale in Scienze e Tecnologie per l'Ambiente	iusto mollitia et	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea Magistrale in Economics and Finance	eveniet rerum minima	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea in Statistica per le Tecnologie e le Scienze	consequatur in ratione	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea Magistrale in Scienze Statistiche	earum magnam atque	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea Magistrale in Lingue e Letterature Europee e Americane	autem aspernatur quisquam	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea Magistrale in Linguistica	reprehenderit rerum eaque	24	Celeste	Costa	+07 893 0681259	naomi57@libero.it	Via Giacinto 11 Piano 8	74
Corso di Laurea in Biotecnologie	commodi officia cupiditate	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea Magistrale in Biologia evoluzionistica	debitis vel pariatur	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea Magistrale in Biologia evoluzionistica	sunt omnis asperiores	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea Magistrale in Biologia sanitaria	est ab dolores	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea in Ingegneria per l'Ambiente e il Territorio	nulla cupiditate nemo	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea Magistrale in Ingegneria Elettronica	et officia sunt	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea in Matematica	autem voluptas ab	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea in Educazione Professionale	velit esse soluta	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea in Tecniche di Neurofisiopatologia	autem ea laboriosam	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea Magistrale in Chimica Industriale	non culpa praesentium	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea Magistrale in Entrepreneurship and Innovation	omnis quas nam	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea Magistrale in Economia e Diritto	vero sit eos	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea Magistrale in Innovazione e Servizio Sociale	magnam saepe in	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea Magistrale in Relazioni Internazionali e Diplomazia	ex perspiciatis blanditiis	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea Magistrale in Scienze del Governo e Politiche Pubbliche	vel ipsa eos	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea in Lingue, Letterature e Mediazione Culturale	consequatur architecto consequatur	25	Concetta	Bianchi	+58 211 72300216	giobbe99@libero.it	Strada Kociss 997 Piano 8	124
Corso di Laurea Magistrale in Biologia evoluzionistica	magni ea tempora	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea in Ingegneria Civile	nemo sit eum	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea in Ingegneria Informatica	explicabo officiis et	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea in Informatica	dicta pariatur dolore	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea in Tecniche di Laboratorio Biomedico	vero harum cupiditate	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea in Tecniche di Laboratorio Biomedico	voluptatibus soluta dolor	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea in Tecniche di Radiologia Medica	dolor ea voluptatem	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea in Tecnica della Riabilitazione Psichiatrica	natus unde quibusdam	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea Magistrale in Business Administration	qui quasi consequatur	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea in Diritto dell'Economia	qui ipsam sed	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea in Relazioni Internazionali e Diritti Umani	eius provident sapiente	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea Magistrale in European and Global Studies	et earum tenetur	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea Magistrale in Innovazione e Servizio Sociale	porro suscipit incidunt	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea in Statistica per l'Economia e l'Impresa	sed facilis eos	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea in Statistica per le Tecnologie e le Scienze	consequuntur aut pariatur	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea Magistrale in Lingue Moderne per la Comunicazione e la Cooperazione Internazionale	porro cupiditate qui	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
Corso di Laurea Magistrale in Lingue Moderne per la Comunicazione e la Cooperazione Internazionale	voluptatem hic omnis	26	Carmelo	Benedetti	+39 010 391 127	rossetti.erminia@yahoo.it	Rotonda Martinelli 309	77
